code2,code3,name,region
DZ,DZA,Algeria,North Africa
AO,AGO,Angola,Central Africa
BJ,BEN,Benin,West Africa
BW,BWA,Botswana,Southern Africa
BF,BFA,Burkina Faso,West Africa
BI,BDI,Burundi,East Africa
CV,CPV,Cabo Verde,West Africa
CM,CMR,Cameroon,Central Africa
CF,CAF,Central African Republic,Central Africa
TD,TCD,Chad,Central Africa
KM,COM,Comoros,East Africa
CI,CIV,Côte d'Ivoire,West Africa
CD,COD,Democratic Republic of the Congo,Central Africa
DJ,DJI,Djibouti,East Africa
EG,EGY,Egypt,North Africa
GQ,GNQ,Equatorial Guinea,Central Africa
ER,ERI,Eritrea,East Africa
SZ,SWZ,Eswatini,Southern Africa
ET,ETH,Ethiopia,East Africa
GA,GAB,Gabon,Central Africa
GM,GMB,Gambia,West Africa
GH,GHA,Ghana,West Africa
GN,GIN,Guinea,West Africa
GW,GNB,Guinea-Bissau,West Africa
KE,KEN,Kenya,East Africa
LS,LSO,Lesotho,Southern Africa
LR,LBR,Liberia,West Africa
LY,LBY,Libya,North Africa
MG,MDG,Madagascar,East Africa
MW,MWI,Malawi,East Africa
ML,MLI,Mali,West Africa
MR,MRT,Mauritania,West Africa
MU,MUS,Mauritius,East Africa
YT,MYT,Mayotte,East Africa
MA,MAR,Morocco,North Africa
MZ,MOZ,Mozambique,East Africa
NA,NAM,Namibia,Southern Africa
NE,NER,Niger,West Africa
NG,NGA,Nigeria,West Africa
CG,COG,Republic of the Congo,Central Africa
RW,RWA,Rwanda,East Africa
RE,REU,Réunion,East Africa
SH,SHN,Saint Helena,West Africa
SN,SEN,Senegal,West Africa
SC,SYC,Seychelles,East Africa
SL,SLE,Sierra Leone,West Africa
SO,SOM,Somalia,East Africa
ZA,ZAF,South Africa,Southern Africa
SS,SSD,South Sudan,East Africa
SD,SDN,Sudan,North Africa
ST,STP,São Tomé and Príncipe,Central Africa
TZ,TZA,Tanzania,East Africa
TG,TGO,Togo,West Africa
TN,TUN,Tunisia,North Africa
UG,UGA,Uganda,East Africa
EH,ESH,Western Sahara,North Africa
ZM,ZMB,Zambia,East Africa
ZW,ZWE,Zimbabwe,East Africa
