iso639_3,name,alt_names,iso639_1,iso639_2b,iso639_2t,scope,type,glottocode,family,family_glottocode,is_isolate,countries,latitude,longitude
aiw,Aari,Ara;Ari;Ari-Galila;Aro;Bako;Boko,,,,individual,living,aari1239,South Omotic,sout2845,false,ET,5.95034,36.5721
aas,Aasáx,"""Dorobo"";""Ndorobo"";Aasax;Aasá;Asa;Asak;Asax;Assa;Asá;Il Konono;Lamanik",,,,individual,living,aasa1238,Afro-Asiatic,afro1255,false,TZ,-4.00679,36.8648
abm,Abanyom,Abanyum;Befun;Bofon;Mbofon,,,,individual,living,aban1242,Atlantic-Congo,atla1278,false,NG,6.30619,8.63055
mij,Abar,Mijong;Missong;Mungbam,,,,individual,living,abar1238,Atlantic-Congo,atla1278,false,CM,6.5805,10.2267
abi,Abidji,Abiji,,,,individual,living,abid1235,Atlantic-Congo,atla1278,false,CI,5.65656,-4.58421
abo,Abon,Abong;Abõ;Ba'ban,,,,individual,living,abon1238,Atlantic-Congo,atla1278,false,CM;NG,6.90621,10.8769
abr,Abron,Bron;Brong;Doma;Gyaman,,,,individual,living,abro1238,Atlantic-Congo,atla1278,false,CI;GH,7.72094,-2.50289
abn,Abua,Abuan,,,,individual,living,abua1244,Atlantic-Congo,atla1278,false,NG,4.83057,6.61492
abu,Abure,Abonwa;Abouré;Abule;Akaplass,,,,individual,living,abur1243,Atlantic-Congo,atla1278,false,CI,5.21534,-3.64123
mgj,Abureni,Mini,,,,individual,living,abur1244,Atlantic-Congo,atla1278,false,NG,4.62301,6.50634
aba,Abé,Abbey;Abbé;Abe;Abi,,,,individual,living,abee1242,Atlantic-Congo,atla1278,false,CI,5.59682,-4.38497
acz,Acheron,Aceron;Achurun;Asheron;Garme,,,,individual,living,ache1245,Narrow Talodi,narr1279,false,SD,10.8827,30.3187
ach,Acoli,Acholi;Acooli;Akoli;Atscholi;Dok Acoli;Gang;Labwor;Log Acoli;Lwo;Lwoo;Shuli,,ach,ach,individual,living,acol1236,Nilotic,nilo1247,false,SS;UG,3.57738,32.5147
fub,Adamawa Fulfulde,"Adamawa (Fula);Adamawa Fulani;Biira;Boulbe;Domona;Dzemay;Eastern Fulani;Eastern Fulfulde;Fellata;Fillanci;Foulfoulde;Ful;Ful(ani);Fula;Fula (Cameroonian);Fulah-Idiome;Fulani;Fulani (Adamawa);Fulani (Gombe);Fulatanchi;Fulbe;Fulfulde;Fulfulde (Adamawa);Fulfulde (Cameroonian);Fulfulde, Adamawa;Gapelta;Gombe;Nagapelta;Palata;Paldena;Paldida;Pelta Hay;Peul;Peulh;Pladina;Pul;Pule;Pullo;Sanyo;Taareyo;Zaakosa;Zemay",,,,individual,living,adam1253,Atlantic-Congo,atla1278,false,CM;ER;ET;NG;SD;TD,8.140326,13.077338
ads,Adamorobe Sign Language,,,,,individual,living,adam1238,Sign Language,sign1238,false,GH,5.834,-0.151
adq,Adangbe,Adan;Adantonwi;Agotime;Dangbe,,,,individual,living,adan1248,Atlantic-Congo,atla1278,false,GH;TG,6.50546,0.727155
ada,Adangme,Dangme,,ada,ada,individual,living,adan1247,Atlantic-Congo,atla1278,false,GH,5.9437,0.13243
